Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan_Degeri,Oy_Sayisi,Liste_Fiyati_Numeric,Yayin_Yili,Sayfa_Sayisi_Numeric,Ana_Kategori,Dil_Encoded,Cilt Tipi_Encoded,Kağıt Cinsi_Encoded,Ana_Kategori_Grouped,Ana_Kategori_Bilim & Mühendislik,Ana_Kategori_Diger,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam,Liste_Fiyati_Numeric_Normalized,Sayfa_Sayisi_Numeric_Normalized,Favorilere Ekleyen Kişi Sayısı_Normalized,Okuyacağım olarak işaretlenmiş sayısı_Normalized,Okuyorum olarak işaretlenmiş sayısı_Normalized,Okudum olarak işaretlenmiş sayısı_Normalized,Toplam Yorum Sayısı_Normalized,Puan_Degeri_Normalized,Oy_Sayisi_Normalized,Toplam Satılma Sayısı_Normalized
Doğmadan Ölenler,Kitap > Edebiyat > Roman (Yerli),Halit Yazıcı,KURMACA AKADEMİ,,10.0,2.0,0,0.0,"206,50",22.02.2021,TÜRKÇE,360,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,133.0,0.0,5.0,5.5,206.5,2021.0,360.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.35467422096317275,0.5714285714285714,0.03454231433506045,0.0036363636363636364,0.0,0.0,0.0,1.0,0.000495485575864347,0.2741433021806854
Kongo Blues,Kitap > Edebiyat > Roman (Çeviri),Jonathan Robijn,EPONA KİTAP,4 / 5 (2 oy),36.0,1.0,0,2.0,"256,00",05.10.2022,TÜRKÇE,200,Karton Kapak,12 x 19.5 cm,Kitap Kağıdı,84.0,1.0,4.0,2.0,256.0,2022.0,200.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.46685552407932007,0.29931972789115646,0.12435233160621761,0.0018181818181818182,0.0,0.002098635886673662,0.002631578947368421,0.75,0.00011010790574763268,0.1723779854620976
Punk DüşünYaratıcı Düşüncenin Yeni Şekli,Kitap > Felsefe-Düşünce > Diğer,Ecequıel Barricart,DESTEK YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),53.0,0.0,0,1.0,"160,00",18.04.2020,TÜRKÇE,136,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,6.0,0.0,5.0,1.0,160.0,2020.0,136.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.24929178470254953,0.19047619047619047,0.18307426597582038,0.0,0.0,0.001049317943336831,0.0,1.0,0.0,0.010384215991692626
Türk Sinemasında Ölüm,Kitap > Sinema-Tiyatro > Senaryo (Yerli),Cangül Akdaş,URZENİ,5 / 5 (1 oy),50.0,4.0,0,1.0,"350,00",24.06.2022,TÜRKÇE,289,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,46.0,0.0,5.0,1.0,350.0,2022.0,289.0,Sinema-Tiyatro,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.6798866855524078,0.45068027210884354,0.17271157167530224,0.007272727272727273,0.0,0.001049317943336831,0.0,1.0,0.0,0.09345794392523364
PythagorasBüyük Düşünürlerden Yaşam Bilgeliği,Kitap > Felsefe-Düşünce > Diğer,Turgut Özgüney,DESTEK YAYIN GRUBU-KAMPANYA,,17.0,1.0,0,0.0,"210,00",12.01.2023,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,3.0,0.0,5.0,5.5,210.0,2023.0,208.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.3626062322946175,0.3129251700680272,0.05872193436960276,0.0018181818181818182,0.0,0.0,0.0,1.0,0.000495485575864347,0.004153686396677051
O'nun Yolunda Biz,Kitap > İslam > Tasavvuf,Tufan Gündüz,YEDİTEPE YAYINEVİ-KAMPANYA,4 / 5 (82 oy),289.5,49.0,6,60.0,"150,00",05.04.2019,TÜRKÇE,144,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,482.5,30.0,4.0,82.0,150.0,2019.0,144.0,İslam,0,1,3,İslam,0,0,0,0,0,0,0,0,0,0,1,0.22662889518413593,0.20408163265306123,1.0,0.0890909090909091,0.011627906976744186,0.06295907660020987,0.07894736842105263,0.75,0.008918740365558247,0.9999999999999999
İncir Tadında İyilik Öyküleri,Kitap > Edebiyat > Antoloji-Derleme,Kolektif,TİMAŞ YAYINLARI,4 / 5 (57 oy),92.0,15.0,6,46.0,"155,00",15.04.2022,TÜRKÇE,312,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,391.0,25.0,4.0,57.0,155.0,2022.0,312.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.23796033994334276,0.489795918367347,0.3177892918825561,0.02727272727272727,0.011627906976744186,0.04826862539349423,0.06578947368421052,0.75,0.00616604272186743,0.8099688473520249
Zamanın Tekerleği,Kitap > Edebiyat > Roman (Çeviri),Aleksandr İvanoviç Kuprin,DEDALUS KİTAP,5 / 5 (6 oy),83.0,5.0,1,5.0,"140,00",05.11.2021,TÜRKÇE,100,Karton Kapak,13 x 20 cm,Kitap Kağıdı,236.0,4.0,5.0,6.0,140.0,2021.0,100.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.20396600566572237,0.1292517006802721,0.2867012089810017,0.00909090909090909,0.001937984496124031,0.005246589716684156,0.010526315789473684,1.0,0.0005505395287381633,0.48805815160955346
Güzel Ölüler Serisi Takım Set (3 Kitap),Kitap > Edebiyat > Roman (Çeviri),Eden Maguire,PEGASUS YAYINLARI,5 / 5 (8 oy),289.5,10.0,2,8.0,"747,00",31.01.2020,TÜRKÇE,824,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,155.0,5.0,5.0,8.0,491.25,2020.0,612.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,0.01818181818181818,0.003875968992248062,0.008394543546694649,0.013157894736842105,1.0,0.0007707553402334288,0.31983385254413293
Aşkın Kırk Hali,Kitap > Edebiyat > Deneme (Yerli),40'lar Kulübü,40'LAR KULÜBÜ,5 / 5 (2 oy),20.0,2.0,0,2.0,"99,00",23.05.2022,TÜRKÇE,128,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,9.0,1.0,5.0,2.0,99.0,2022.0,128.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.11104815864022662,0.17687074829931973,0.0690846286701209,0.0036363636363636364,0.0,0.002098635886673662,0.002631578947368421,1.0,0.00011010790574763268,0.016614745586708203
Kehribar Dumanı / Firar (Birinci Kitap),Kitap > Edebiyat > Bilimkurgu-Fantazya,Kristin Cast,PEGASUS YAYINLARI,4 / 5 (28 oy),236.0,20.0,0,20.0,"249,00",12.10.2017,TÜRKÇE,272,Karton Kapak,13.5 x 2 cm,Kitap Kağıdı,204.0,6.0,4.0,28.0,249.0,2017.0,272.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4509915014164305,0.42176870748299317,0.8151986183074266,0.03636363636363636,0.0,0.020986358866736624,0.015789473684210527,0.75,0.0029729134551860826,0.4215991692627207
Öksüz VatanKeşke Hiç Böyle Olmasaydı!,Kitap > Siyaset > Araştırma-İnceleme,Prof. Dr. Doğan Aydal,MOTTO,4 / 5 (2 oy),14.0,5.0,0,1.0,"334,00",25.09.2023,TÜRKÇE,228,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,97.0,1.0,4.0,2.0,334.0,2023.0,228.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.6436260623229462,0.3469387755102041,0.048359240069084625,0.00909090909090909,0.0,0.001049317943336831,0.002631578947368421,0.75,0.00011010790574763268,0.19937694704049844
Yabancılar ve Ötekiler,Kitap > Edebiyat > Hikaye (Yerli),Demet Eker,EPONA KİTAP,5 / 5 (2 oy),19.0,4.0,0,6.0,"165,00",28.11.2024,TÜRKÇE,104,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,482.5,3.0,5.0,2.0,165.0,2024.0,104.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.26062322946175637,0.1360544217687075,0.06563039723661485,0.007272727272727273,0.0,0.0062959076600209865,0.007894736842105263,1.0,0.00011010790574763268,0.9999999999999999
Acı Gülüş,Kitap > Edebiyat > Roman (Yerli),Hüseyin Rahmi Gürpınar,KAPRA YAYINCILIK,5 / 5 (67 oy),289.5,62.0,7,61.0,"70,00",13.01.2021,TÜRKÇE,390,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,482.5,25.0,5.0,67.0,70.0,2021.0,390.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.045325779036827205,0.6224489795918366,1.0,0.11272727272727273,0.013565891472868217,0.06400839454354669,0.06578947368421052,1.0,0.007267121779343757,0.9999999999999999
Zehra Güneş / Geçilmeyen Duvar,Kitap > Spor > Biyografi,Can Eren,PETA KİTAP YAYINCILIK,,23.0,3.0,0,4.0,"135,00",22.07.2024,TÜRKÇE,120,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,89.0,1.0,5.0,5.5,135.0,2024.0,120.0,Spor,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.19263456090651554,0.163265306122449,0.07944732297063903,0.005454545454545455,0.0,0.004197271773347324,0.002631578947368421,1.0,0.000495485575864347,0.1827622014537902
Annem Bir Şizofren,Kitap > Psikoloji > İnceleme,Claire Phillips,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),74.0,6.0,0,1.0,"250,00",02.01.2024,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,47.0,0.0,5.0,1.0,250.0,2024.0,224.0,Psikoloji,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.45325779036827196,0.3401360544217687,0.2556131260794473,0.01090909090909091,0.0,0.001049317943336831,0.0,1.0,0.0,0.09553478712357218
Skinny Bitch Mutfakta,Kitap > Hobi > Yeme-İçme,Rory Freedman,PEGASUS YAYINLARI,3 / 5 (25 oy),270.0,23.0,8,24.0,"249,00",15.08.2008,TÜRKÇE,176,Karton Kapak,13.54 x 21 cm,Kitap Kağıdı,482.5,14.0,3.0,25.0,249.0,2008.0,176.0,Hobi,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.4509915014164305,0.2585034013605442,0.9326424870466321,0.04181818181818182,0.015503875968992248,0.025183630640083946,0.03684210526315789,0.5,0.0026425897379431843,0.9999999999999999
Gerginlik Toplumu,Kitap > Akademik > Psikoloji,İhsan Kurt,NET KİTAPLIK YAYINCILIK,,27.0,0.0,1,2.0,"340,00",03.01.2023,TÜRKÇE,200,Karton Kapak,13 x 20 cm,Kitap Kağıdı,10.0,0.0,5.0,5.5,340.0,2023.0,200.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.6572237960339943,0.29931972789115646,0.09326424870466321,0.0,0.001937984496124031,0.002098635886673662,0.0,1.0,0.000495485575864347,0.018691588785046728
Greklerde Eğitim Düşüncesi,Kitap > Eğitim > Diğer > Kitap > Felsefe-Düşünce > Genel,Thomas Davidson,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),83.0,4.0,0,0.0,"300,00",29.08.2008,TÜRKÇE,255,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,52.0,1.0,5.0,1.0,300.0,2008.0,255.0,Eğitim,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.5665722379603398,0.39285714285714285,0.2867012089810017,0.007272727272727273,0.0,0.0,0.002631578947368421,1.0,0.0,0.1059190031152648
"Güneş, Ay ve Yıldızlardan Öyküler",Kitap > Edebiyat > Hikaye (Çeviri),Richard Erdoes,URZENİ,5 / 5 (1 oy),11.0,2.0,0,1.0,"170,00",17.10.2022,TÜRKÇE,114,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,11.0,0.0,5.0,1.0,170.0,2022.0,114.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.27195467422096314,0.15306122448979592,0.037996545768566495,0.0036363636363636364,0.0,0.001049317943336831,0.0,1.0,0.0,0.020768431983385256
Paşa'nın SofracısıPembe Köşk'te Üç Yıl,Kitap > Tarih > Araştırma-İnceleme,İhsan Aydın,USÛL YAYINLARI,5 / 5 (5 oy),42.0,2.0,0,4.0,"180,00",06.01.2023,TÜRKÇE,128,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,127.0,4.0,5.0,5.0,180.0,2023.0,128.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.29461756373937675,0.17687074829931973,0.14507772020725387,0.0036363636363636364,0.0,0.004197271773347324,0.010526315789473684,1.0,0.00044043162299053066,0.26168224299065423
Günahkar,Kitap > Edebiyat > Roman (Çeviri),Maggie Stiefvater,PEGASUS YAYINLARI,4 / 5 (13 oy),109.0,11.0,0,9.0,"299,00",07.04.2017,TÜRKÇE,384,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,74.0,7.0,4.0,13.0,299.0,2017.0,384.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.6122448979591836,0.3765112262521589,0.02,0.0,0.00944386149003148,0.018421052631578946,0.75,0.0013212948689715921,0.15160955347871236
Mesaj / Novus II,Kitap > Edebiyat > Diğer,Erhan Kolbaşı,DESTEK YAYIN GRUBU-KAMPANYA,5 / 5 (3 oy),65.0,3.0,1,6.0,"250,00",22.08.2023,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,274.0,3.0,5.0,3.0,250.0,2023.0,288.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.45325779036827196,0.4489795918367347,0.2245250431778929,0.005454545454545455,0.001937984496124031,0.0062959076600209865,0.007894736842105263,1.0,0.00022021581149526536,0.5669781931464174
Turgut ÖzalTürk Siyasal Hayatında Teknokrat Olarak,Kitap > Siyaset,Hazerfen Gültekin,URZENİ,5 / 5 (1 oy),18.0,1.0,0,1.0,"370,00",18.09.2023,TÜRKÇE,339,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,34.0,0.0,5.0,1.0,370.0,2023.0,339.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.725212464589235,0.5357142857142857,0.06217616580310881,0.0018181818181818182,0.0,0.001049317943336831,0.0,1.0,0.0,0.06853582554517135
Hazretler SinemasıYeşilçam'ın Hazretli Filmleri,Kitap > Sinema-Tiyatro > Sinema-Genel,Bilal Yorulmaz,URZENİ,5 / 5 (2 oy),31.0,1.0,0,2.0,"350,00",02.02.2021,TÜRKÇE,386,Karton Kapak,13 x 20 cm,Kitap Kağıdı,35.0,0.0,5.0,2.0,350.0,2021.0,386.0,Sinema-Tiyatro,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.6798866855524078,0.6156462585034013,0.1070811744386874,0.0018181818181818182,0.0,0.002098635886673662,0.0,1.0,0.00011010790574763268,0.07061266874350987
Sığınamayanlar,Kitap > Edebiyat > Roman (Yerli),Aytekin Yılmaz,VADİ YAYINLARI,5 / 5 (2 oy),30.0,1.0,0,2.0,"330,00",06.04.2022,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,97.0,1.0,5.0,2.0,330.0,2022.0,256.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6345609065155807,0.3945578231292517,0.10362694300518134,0.0018181818181818182,0.0,0.002098635886673662,0.002631578947368421,1.0,0.00011010790574763268,0.19937694704049844
Mozaik: Toplu Öyküler,Kitap > Edebiyat > Hikaye (Çeviri),Prosper Merimee,FİHRİST KİTAP,5 / 5 (1 oy),37.0,4.0,0,1.0,"174,50",10.05.2023,TÜRKÇE,108,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,153.0,0.0,5.0,1.0,174.5,2023.0,108.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.28215297450424925,0.14285714285714285,0.12780656303972365,0.007272727272727273,0.0,0.001049317943336831,0.0,1.0,0.0,0.31568016614745587
İslam Öncesi Ortadoğu’da Eko-Politik Akıl,Kitap > Ekonomi > Tarih,Sedat Namdar,LEJAND,4 / 5 (3 oy),27.0,2.0,0,1.0,"250,00",27.03.2024,TÜRKÇE,298,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,104.0,2.0,4.0,3.0,250.0,2024.0,298.0,Ekonomi,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.45325779036827196,0.46598639455782315,0.09326424870466321,0.0036363636363636364,0.0,0.001049317943336831,0.005263157894736842,0.75,0.00022021581149526536,0.2139148494288681
Yanlış Yer Yanlış Zaman,Kitap > Edebiyat > Korku-Gerilim,Gillian Mcallister,OLİMPOS YAYINLARI,5 / 5 (92 oy),1.739,98.0,6,140.0,"320,00",15.03.2023,TÜRKÇE,384,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,482.5,62.0,5.0,92.0,320.0,2023.0,384.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6118980169971671,0.6122448979591836,0.006006908462867012,0.1781818181818182,0.011627906976744186,0.14690451206715635,0.1631578947368421,1.0,0.010019819423034574,0.9999999999999999
BIM-Yapı Bilgi Modellemesi (Building Information Modelling),Kitap > Bilgisayar > Diğer,Doç. Dr. Beliz Özorhon,ABAKÜS KİTAP - KAMPANYA,4 / 5 (6 oy),39.0,4.0,1,3.0,"200,00",02.05.2018,TÜRKÇE,152,Karton Kapak,16.5 x 24 cm,1. Hm. Kağıt,139.0,3.0,4.0,6.0,200.0,2018.0,152.0,Bilgisayar,0,1,0,Diger,0,1,0,0,0,0,0,0,0,0,0,0.3399433427762039,0.217687074829932,0.13471502590673576,0.007272727272727273,0.001937984496124031,0.0031479538300104933,0.007894736842105263,0.75,0.0005505395287381633,0.28660436137071654
Komünizm ve Sol KorkusuAmerika Jusmat Kontrgerilla,Kitap > Siyaset > Kitap > Siyaset > Devlet,Süleyman Yağız,URZENİ,4 / 5 (2 oy),30.0,4.0,0,2.0,"400,00",19.07.2019,TÜRKÇE,354,Karton Kapak,14 x 22 cm,Kitap Kağıdı,78.0,0.0,4.0,2.0,400.0,2019.0,354.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.7932011331444758,0.5612244897959183,0.10362694300518134,0.007272727272727273,0.0,0.002098635886673662,0.0,0.75,0.00011010790574763268,0.15991692627206644
Giyotin Takımı,Kitap > Edebiyat > Roman (Çeviri),Guillermo Arriaga,SİYASAL YAYIN GRUBU - KAMPANYA,,20.0,1.0,0,0.0,"230,00",05.11.2008,TÜRKÇE,164,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,15.0,1.0,5.0,5.5,230.0,2008.0,164.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.40793201133144474,0.23809523809523808,0.0690846286701209,0.0018181818181818182,0.0,0.0,0.002631578947368421,1.0,0.000495485575864347,0.029075804776739357
Miyav! Yarın Yeni Bir Hayata Başlıyorum + Miyav! Kafayı mı Yediniz Siz? (2 Kitap Takım Set),Kitap > Çocuk Kitapları > Diğer,Gilles Legardinier,PEGASUS YAYINLARI,5 / 5 (28 oy),199.0,24.0,3,17.0,"598,00",31.01.2020,TÜRKÇE,720,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,334.0,12.0,5.0,28.0,491.25,2020.0,612.0,Çocuk Kitapları,0,1,3,Çocuk Kitapları,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.6873920552677029,0.04363636363636364,0.005813953488372093,0.017838405036726127,0.031578947368421054,1.0,0.0029729134551860826,0.6915887850467289
Ölümsüz Cümleler,Kitap > Edebiyat > Polisiye,Polat Onat,FİHRİST KİTAP,5 / 5 (4 oy),41.0,0.0,0,10.0,"474,50",25.06.2021,TÜRKÇE,364,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,104.0,3.0,5.0,4.0,474.5,2021.0,364.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.9620396600566572,0.5782312925170068,0.14162348877374784,0.0,0.0,0.010493179433368312,0.007894736842105263,1.0,0.00033032371724289804,0.2139148494288681
Şeffaf Toplum,Kitap > Felsefe-Düşünce > Felsefe Tarihi,Gianni Vattimo,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (10 oy),120.0,5.0,2,6.0,"200,00",03.09.2012,TÜRKÇE,144,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,89.0,1.0,5.0,10.0,200.0,2012.0,144.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.3399433427762039,0.20408163265306123,0.41450777202072536,0.00909090909090909,0.003875968992248062,0.0062959076600209865,0.002631578947368421,1.0,0.000990971151728694,0.1827622014537902
Hiçliğin Kıyısında,Kitap > Edebiyat > Roman (Yerli),Bahadır İçel,KANON KİTAP,,15.0,1.0,0,1.0,"175,00",29.07.2021,TÜRKÇE,179,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,12.0,0.0,5.0,5.5,175.0,2021.0,179.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.2832861189801699,0.26360544217687076,0.05181347150259067,0.0018181818181818182,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.02284527518172378
Alev Alev,Kitap > Edebiyat > Roman (Çeviri),Kasey Michaels,PEGASUS YAYINLARI,4 / 5 (20 oy),213.0,3.0,0,20.0,"299,00",25.05.2012,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,204.0,6.0,4.0,20.0,299.0,2012.0,336.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.5306122448979591,0.7357512953367875,0.005454545454545455,0.0,0.020986358866736624,0.015789473684210527,0.75,0.0020920502092050207,0.4215991692627207
İslam'a Kırk Hayat,Kitap > İslam > Kişiler,40'lar Kulübü,40'LAR KULÜBÜ,4 / 5 (3 oy),23.0,3.0,0,2.0,"149,00",23.05.2022,TÜRKÇE,181,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,39.0,1.0,4.0,3.0,149.0,2022.0,181.0,İslam,0,1,3,İslam,0,0,0,0,0,0,0,0,0,0,1,0.2243626062322946,0.26700680272108845,0.07944732297063903,0.005454545454545455,0.0,0.002098635886673662,0.002631578947368421,0.75,0.00022021581149526536,0.07892004153686397
Sen Kim Olduğunu Zannediyorsun,Kitap > Kişisel Gelişim,Suat Güzey,YEDİVEREN YAYIN GRUBU - KAMPANYA,,4.0,0.0,0,0.0,"163,00",26.10.2023,TÜRKÇE,176,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,6.0,0.0,5.0,5.5,163.0,2023.0,176.0,Kişisel Gelişim,0,1,3,Kişisel Gelişim,0,0,0,0,0,1,0,0,0,0,0,0.25609065155807365,0.2585034013605442,0.013816925734024179,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.010384215991692626
Türk-Amerikan İlişkileri,Kitap > Siyaset > Araştırma-İnceleme,Prof. Dr. Ozan Örmeci,URZENİ,5 / 5 (4 oy),37.0,3.0,1,2.0,"370,00",25.02.2021,TÜRKÇE,455,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,53.0,2.0,5.0,4.0,370.0,2021.0,455.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.725212464589235,0.7329931972789115,0.12780656303972365,0.005454545454545455,0.001937984496124031,0.002098635886673662,0.005263157894736842,1.0,0.00033032371724289804,0.10799584631360333
Evrim Yaşamı Nasıl Açıklar?,Kitap > Bilim & Mühendislik > Popüler Bilim,New Scientist,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),130.0,9.0,1,4.0,"400,00",14.10.2020,TÜRKÇE,296,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,75.0,0.0,5.0,1.0,400.0,2020.0,296.0,Bilim & Mühendislik,0,1,3,Bilim & Mühendislik,1,0,0,0,0,0,0,0,0,0,0,0.7932011331444758,0.46258503401360546,0.4490500863557858,0.016363636363636365,0.001937984496124031,0.004197271773347324,0.0,1.0,0.0,0.15368639667705086
Alfred Kropp: On Üçüncü Kafatası,Kitap > Edebiyat > Bilimkurgu-Fantazya,Rick Yancey,PEGASUS  ÇOCUK YAYINLARI,4 / 5 (15 oy),161.0,11.0,1,4.0,"250,00",05.01.2019,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,85.0,3.0,4.0,15.0,250.0,2019.0,320.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.45325779036827196,0.5034013605442176,0.5561312607944732,0.02,0.001937984496124031,0.004197271773347324,0.007894736842105263,0.75,0.0015415106804668576,0.17445482866043613
50 Maddede Siyasi Cinayetler,Kitap > Tarih > Araştırma-İnceleme,Orhan Tüleylioğlu,DESTEK YAYIN GRUBU-KAMPANYA,5 / 5 (5 oy),78.0,7.0,1,4.0,"240,00",27.01.2020,TÜRKÇE,296,Karton Kapak,11.5 x 17.5 cm,Kitap Kağıdı,77.0,1.0,5.0,5.0,240.0,2020.0,296.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.4305949008498583,0.46258503401360546,0.2694300518134715,0.012727272727272728,0.001937984496124031,0.004197271773347324,0.002631578947368421,1.0,0.00044043162299053066,0.15784008307372793
FemeiKadınlar,Kitap > Edebiyat > Roman (Çeviri),Mihail Sebastian,FİHRİST KİTAP,5 / 5 (2 oy),22.0,5.0,0,1.0,"219,50",01.07.2024,TÜRKÇE,144,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,30.0,0.0,5.0,2.0,219.5,2024.0,144.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.38413597733711047,0.20408163265306123,0.07599309153713299,0.00909090909090909,0.0,0.001049317943336831,0.0,1.0,0.00011010790574763268,0.060228452751817235
Sözde AdamErkek Kılığındaki Bir Yılım,Kitap > Sosyoloji > Araştırma-İnceleme,Norah Vincent,FİHRİST KİTAP,5 / 5 (12 oy),204.0,23.0,2,13.0,"379,50",06.09.2023,TÜRKÇE,284,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,371.0,7.0,5.0,12.0,379.5,2023.0,284.0,Sosyoloji,0,1,3,Sosyoloji,0,0,0,0,0,0,0,1,0,0,0,0.746742209631728,0.4421768707482993,0.7046632124352331,0.04181818181818182,0.003875968992248062,0.013641133263378805,0.018421052631578946,1.0,0.0012111869632239595,0.7684319833852543
